City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,swift current,50.2834,-107.8014,90.41,19,0,14.97,CA,1690838240
118,namibe,-15.1961,12.1522,61.63,85,5,4.65,AO,1690838240
119,lompoc,34.6391,-120.4579,94.78,67,40,10.36,US,1690838044
120,aral,40.5156,81.2636,74.39,47,60,10.98,CN,1690838242
121,cockburn town,21.4612,-71.1419,84.11,77,42,15.66,TC,1690838242
122,gazli,40.1333,63.45,92.53,17,28,14.41,UZ,1690838243
123,ketchikan,55.3422,-131.6461,59.47,94,100,11.5,US,1690838243
124,port lincoln,-34.7333,135.8667,52.54,83,0,2.84,AU,1690838243
125,chanute,37.6792,-95.4572,96.48,46,0,14.97,US,1690838244
126,valparaiso,-33.0393,-71.6273,60.01,87,75,9.22,CL,1690837955
127,ta`u,-14.2336,-169.5144,81.16,77,100,12.5,AS,1690838246
128,ghorawal,24.7667,82.7833,84.63,72,100,8.75,IN,1690838247
129,bikenibeu village,1.3673,173.1241,78.76,89,100,10.36,KI,1690838247
130,faya-largeau,17.9257,19.1043,94.66,11,0,4.65,TD,1690838247
131,santa ana,33.7456,-117.8678,98.49,55,75,11.5,US,1690838248
132,capitao poco,-1.7464,-47.0594,78.84,79,80,6.06,BR,1690838248
133,avarua,-21.2078,-159.775,80.65,89,20,5.75,CK,1690838064
134,east end,34.5507,-92.341,94.14,33,87,4.59,US,1690838249
135,aldan,58.6031,125.3894,51.26,90,84,2.46,RU,1690838250
136,nemuro,43.3236,145.575,58.44,99,100,4.65,JP,1690838250
137,ghat,24.9647,10.1728,98.44,11,12,7.7,LY,1690838250
138,tamanrasset,22.785,5.5228,85.91,10,0,4.61,DZ,1690838251
139,college,64.8569,-147.8028,74.21,58,75,5.75,US,1690838043
140,qaqortoq,60.7167,-46.0333,43.11,86,56,4.29,GL,1690838252
141,arafat,21.3594,39.9664,92.93,19,23,4.14,SA,1690838252
142,hadibu,12.65,54.0333,78.94,80,78,17.11,YE,1690838253
143,oliver,49.1831,-119.5524,84.11,18,0,3.44,CA,1690838253
144,idri,27.5,13.2667,94.91,22,0,16.53,LY,1690838253
145,canete,-37.8,-73.4,55.56,94,100,9.64,CL,1690838254
146,tura,25.5198,90.2201,75.38,97,100,4.59,IN,1690838254
147,nabire,-3.3667,135.4833,78.89,85,100,1.97,ID,1690838133
148,nova olinda do norte,-3.8881,-59.0942,93.83,39,69,2.84,BR,1690838256
149,pokachi,61.7198,75.3683,61.93,89,96,8.63,RU,1690838256
150,kununurra,-15.7667,128.7333,64.38,63,5,3.44,AU,1690838258
151,saynshand,44.8824,110.1163,73.87,75,91,15.41,MN,1690838258
152,walvis bay,-22.9575,14.5053,59.9,41,0,9.95,NA,1690838085
153,metairie,29.9841,-90.1528,100.4,50,40,9.22,US,1690838259
154,cranbourne east,-38.1081,145.3056,54.52,83,41,5.99,AU,1690838259
155,afaahiti,-17.75,-149.2833,82.27,75,8,23.22,PF,1690838260
156,harstad,68.799,16.5293,69.19,70,100,5.75,NO,1690838215
157,qarazhal,48.0078,70.7903,76.41,41,0,5.32,KZ,1690838261
158,fale old settlement,-9.3852,-171.2468,83.35,75,20,15.7,TK,1690838261
159,brisas de zicatela,15.8369,-97.0419,93.72,59,40,11.5,MX,1690838261
160,wuyishan,28.0047,117.8114,73.26,93,79,3.51,CN,1690838262
161,sao vicente,-23.9631,-46.3919,71.98,56,100,3.44,BR,1690838262
162,bardai,11.65,7.2333,69.98,96,100,15.39,NG,1690838263
163,lorengau,-2.0226,147.2712,81.9,83,85,6.42,PG,1690838264
164,lethbridge,49.7,-112.8186,89.71,14,20,16.11,CA,1690838265
165,hamilton,39.1834,-84.5333,83.77,47,40,13.8,US,1690838265
166,port saint john's,-31.6229,29.5448,60.69,41,1,16.64,ZA,1690838266
167,calama,-22.4667,-68.9333,75.69,6,0,17.27,CL,1690838266
168,eregli,37.5133,34.0467,73.96,25,0,4.63,TR,1690838266
169,bornu yassu,12.2774,12.5552,89.19,46,42,9.19,NG,1690838267
170,mansa,29.9833,75.3833,90.19,51,49,3.89,IN,1690838267
171,thompson,55.7435,-97.8558,78.96,41,0,8.05,CA,1690838040
172,lata,40.1629,-8.3327,61.68,97,0,3.38,PT,1690838268
173,novovolyns'k,50.7258,24.1626,59.7,90,34,5.41,UA,1690838269
174,rialma,-15.315,-49.5844,85.78,23,41,3.42,BR,1690838269
175,nikolayevsk-on-amure,53.1406,140.73,61.43,93,100,4.97,RU,1690838270
176,quellon,-43.1167,-73.6167,52.05,87,100,19.57,CL,1690838271
177,new norfolk,-42.7826,147.0587,47.7,88,94,12.3,AU,1690838271
178,port mathurin,-19.6833,63.4167,74.14,74,27,23.78,MU,1690838272
179,colonia,50.9333,6.95,64.58,89,20,10.36,DE,1690838100
180,george town,5.4112,100.3354,82.33,87,20,2.3,MY,1690838273
181,saipan,15.1355,145.701,81.64,100,0,3.44,MP,1690838274
182,amahai,-3.3333,128.9167,81.0,91,80,4.18,ID,1690838275
183,vila velha,-20.3297,-40.2925,69.94,84,75,6.91,BR,1690838275
184,northam,51.0333,-4.2167,62.65,92,53,19.91,GB,1690838088
185,hithadhoo,-0.6,73.0833,82.56,72,84,3.87,MV,1690838276
186,cacahoatan,14.9833,-92.1667,88.0,83,97,3.18,MX,1690838276
187,smithers,54.7804,-127.1743,66.52,52,75,8.05,CA,1690838278
188,hachioji,35.6558,139.3239,82.56,86,0,4.0,JP,1690838278
189,pitimbu,-7.4706,-34.8086,77.59,78,0,13.02,BR,1690838278
190,guiren,33.6697,118.1889,74.19,96,5,8.7,CN,1690838279
191,puerto aysen,-45.4,-72.7,41.04,100,100,0.0,CL,1690838280
192,pailin,12.849,102.6093,76.77,88,100,6.11,KH,1690838280
193,spasskoye,44.6108,132.7969,70.66,78,70,8.28,RU,1690838281
194,tolanaro,-25.0319,46.9987,65.66,89,37,8.14,MG,1690838077
195,selfoss,63.9331,-20.9971,58.05,81,64,6.22,IS,1690838281
196,essaouira,31.5125,-9.77,87.3,72,0,12.66,MA,1690838282
197,yemel'yanovo,56.1681,92.6767,58.08,100,0,2.24,RU,1690838283
198,vorgashor,67.5833,63.95,60.22,78,45,2.51,RU,1690838283
199,uturoa,-16.7333,-151.4333,79.14,76,95,20.89,PF,1690838284
200,atafu village,-8.5421,-172.5159,82.62,79,82,13.27,TK,1690838284
201,nuuk,64.1835,-51.7216,47.88,81,20,10.36,GL,1690838285
202,tynda,55.1667,124.7167,58.48,94,15,2.55,RU,1690838285
203,box elder,41.5005,-112.8764,95.25,42,91,3.4,US,1690838285
204,petropavlovka,50.6114,105.3196,65.93,78,84,3.11,RU,1690838286
205,hincesti,46.8258,28.5936,67.57,91,100,1.5,MD,1690838286
206,taroudant,30.4703,-8.877,79.16,51,40,3.78,MA,1690838287
207,cidreira,-30.1811,-50.2056,61.52,84,17,5.08,BR,1690838288
208,burang,30.25,81.1667,51.58,83,82,3.74,CN,1690838288
209,kristiansund,63.1115,7.732,60.85,88,75,6.91,NO,1690838289
210,karema,-6.8205,30.4389,72.66,33,6,2.62,TZ,1690838290
211,praia da vitoria,38.7333,-27.0667,77.76,94,20,5.41,PT,1690838291
212,trairi,-3.2778,-39.2689,78.69,77,57,12.68,BR,1690838291
213,hinthada,17.6333,95.4667,77.85,92,98,12.57,MM,1690838291
214,coquimbo,-29.9533,-71.3436,56.93,88,75,6.91,CL,1690838124
215,ribeirao da ilha,-27.6993,-48.5322,67.17,80,0,1.14,BR,1690838294
216,revda,56.801,59.9303,61.39,96,100,3.11,RU,1690838295
217,torrington,41.8007,-73.1212,80.13,61,68,7.36,US,1690838295
218,sao jose da coroa grande,-8.8978,-35.1478,74.97,82,2,7.67,BR,1690838295
219,keflavik,64.0049,-22.5624,53.51,93,40,9.22,IS,1690838296
220,pacific grove,36.6177,-121.9166,80.24,79,40,8.05,US,1690838213
221,labytnangi,66.6572,66.4183,57.24,75,16,6.31,RU,1690838297
222,san patricio,28.017,-97.5169,101.12,35,37,15.66,US,1690838297
223,tubarjal,30.4999,38.216,90.19,15,0,12.28,SA,1690838298
224,prince rupert,54.3161,-130.3201,60.89,89,100,9.22,CA,1690838298
225,campo formoso,-10.5075,-40.3214,73.92,58,83,10.13,BR,1690838299
226,yamada,39.4667,141.95,75.07,85,100,4.21,JP,1690838299
227,tuba city,36.135,-111.2399,91.38,35,83,1.99,US,1690838299
228,trevelin,-43.0858,-71.4639,51.28,89,100,9.44,AR,1690838300
229,mumford,5.2618,-0.759,75.79,92,100,11.81,GH,1690838300
230,zuni pueblo,35.0725,-108.8506,70.43,18,67,10.31,US,1690838301
231,macau,22.2006,113.5461,82.2,89,40,9.22,MO,1690838301
232,omdurman,15.6445,32.4777,95.74,35,67,16.82,SD,1690838301
233,farmington,36.7281,-108.2187,95.23,46,0,8.01,US,1690838302
234,aykhal,66.0,111.5,54.19,47,19,3.96,RU,1690838302
235,baotou,40.6522,109.8222,71.91,86,10,8.3,CN,1690838303
236,mount pleasant,32.7941,-79.8626,90.25,76,0,9.22,US,1690838303
237,watampone,-4.5386,120.3279,74.84,90,75,4.79,ID,1690838303
238,ocara,-4.4908,-38.5967,80.11,59,22,10.25,BR,1690838304
239,choibalsan,48.0667,114.5,72.41,50,35,7.43,MN,1690838304
240,jawf al maqbabah,13.8378,45.8349,83.59,58,100,2.57,YE,1690838305
241,tazovsky,67.4667,78.7,53.85,85,54,8.86,RU,1690838305
242,fenghua,29.6563,121.4064,78.69,94,40,2.24,CN,1690838305
243,kargasok,59.0556,80.8572,60.55,99,100,3.42,RU,1690838306
244,sur,22.5667,59.5289,89.22,58,13,13.35,OM,1690838078
245,zyryanovsk,49.7386,84.2719,64.08,67,13,1.57,KZ,1690838307
246,tromso,69.6496,18.957,61.38,72,0,3.44,NO,1690838079
247,quelimane,-17.8786,36.8883,71.55,88,0,0.0,MZ,1690838307
248,najafabad,32.6344,51.3668,81.14,11,5,7.78,IR,1690838308
249,rouissat,31.9243,5.3502,102.27,19,94,4.61,DZ,1690838308
250,primorskiy,43.0983,131.5875,70.54,88,51,1.34,RU,1690838309
251,howrah,22.5892,88.3103,80.6,100,100,4.61,IN,1690838079
252,pisco,-13.7,-76.2167,69.85,73,0,14.97,PE,1690838309
253,kaspiyskiy,45.3929,47.3707,78.1,51,0,1.39,RU,1690838310
254,susuman,62.7833,148.1667,47.98,84,100,5.53,RU,1690838048
255,vila do maio,15.1333,-23.2167,81.39,76,30,3.89,CV,1690838311
256,baise city,23.8997,106.6133,76.6,98,96,1.45,CN,1690838311
257,queenstown,-31.8976,26.8753,39.13,66,13,5.7,ZA,1690838311
258,chonchi,-42.6128,-73.8092,51.01,83,75,17.05,CL,1690838312
259,carnarvon,-24.8667,113.6333,63.41,36,0,7.45,AU,1690838312
260,ocean city,39.2776,-74.5746,84.45,70,82,7.0,US,1690838313
261,georgetown,5.4112,100.3354,82.33,87,20,2.3,MY,1690838313
262,alesund,62.4723,6.1549,61.72,92,20,13.8,NO,1690838313
263,suwayr,30.1171,40.3893,95.94,13,1,6.42,SA,1690838314
264,alaghsas,17.0187,8.0168,99.9,16,23,4.03,NE,1690838314
265,salinas,36.6777,-121.6555,93.56,61,0,13.8,US,1690838163
266,vernon,50.2581,-119.2691,86.29,20,0,2.3,CA,1690838315
267,lima duarte,-21.8425,-43.7931,61.7,77,15,3.27,BR,1690838315
268,port alfred,-33.5906,26.891,52.18,78,78,7.0,ZA,1690838316
269,vavoua,7.3819,-6.4778,72.59,90,84,0.96,CI,1690838316
270,port antonio,18.18,-76.4612,95.0,64,7,12.12,JM,1690838317
271,kruisfontein,-34.0033,24.7314,48.88,77,95,18.52,ZA,1690838317
272,san antonio de pale,-1.4014,5.6325,72.86,78,100,13.76,GQ,1690838318
273,alofi,-19.0595,-169.9187,73.29,88,75,13.8,NU,1690838318
274,udachny,66.4167,112.4,53.46,46,45,4.16,RU,1690838318
275,mermoz boabab,14.7065,-17.4758,81.16,80,34,11.23,SN,1690838319
276,igarra,7.2827,6.0878,73.13,97,100,7.74,NG,1690838320
277,luis correia,-2.8792,-41.6669,82.4,74,20,12.66,BR,1690838320
278,kapuskasing,49.4169,-82.4331,69.8,43,75,2.3,CA,1690838321
279,daru,-9.0763,143.2092,76.96,82,81,10.76,PG,1690838321
280,santa marinella,42.0345,11.8536,77.68,69,0,0.89,IT,1690838321
281,barra de sao francisco,-18.755,-40.8908,70.32,67,99,1.45,BR,1690838322
282,tsuruoka,38.7217,139.8217,73.4,92,100,4.9,JP,1690838322
283,kiomboi,-4.2667,34.3667,67.01,37,44,7.49,TZ,1690838323
284,kudahuvadhoo,2.6708,72.8944,82.02,75,68,5.03,MV,1690838323
285,badger,64.8,-147.5333,73.99,56,75,5.75,US,1690838324
286,la ronge,55.1001,-105.2842,68.25,68,75,8.05,CA,1690838324
287,cururupu,-1.8283,-44.8683,78.71,83,43,3.33,BR,1690838325
288,bonny,4.4522,7.1681,77.72,87,100,15.41,NG,1690838325
289,shwebo,22.5667,95.7,79.86,82,100,9.75,MM,1690838325
290,ishigaki,24.3448,124.1572,82.53,83,75,13.8,JP,1690838326
291,kalmunai,7.4167,81.8167,79.81,73,100,3.83,LK,1690838326
292,kuanda,56.3161,116.0806,62.82,85,61,1.36,RU,1690838072
293,wailua homesteads,22.0669,-159.378,84.99,77,0,14.97,US,1690838327
294,dawesville,30.9224,-84.0091,93.67,61,40,5.01,US,1690838327
295,akureyri,65.6835,-18.0878,53.53,71,20,6.91,IS,1690838328
296,urengoy,65.9667,78.3667,64.24,75,100,6.98,RU,1690838328
297,whitehorse,60.7161,-135.0538,70.57,58,75,4.61,CA,1690838189
298,karbala,32.616,44.0249,99.5,11,0,8.63,IQ,1690838128
299,gadzhiyevo,69.2551,33.3362,52.0,90,100,9.84,RU,1690838330
300,priob'ye,62.5206,65.5964,64.56,73,99,5.35,RU,1690838330
301,russkaya polyana,49.417,31.9201,64.85,91,100,3.47,UA,1690838331
302,biryusinsk,55.9634,97.8235,60.53,87,4,1.14,RU,1690838331
303,mar del plata,-38.0023,-57.5575,51.94,92,100,4.0,AR,1690838331
304,badiyah,22.45,58.8,87.04,54,4,6.73,OM,1690838332
305,banchory,57.0517,-2.4882,57.29,99,100,6.91,GB,1690838332
306,yatou,37.15,122.3833,74.64,94,91,2.37,CN,1690838333
307,dazhou,31.2159,107.5009,77.5,91,79,3.98,CN,1690838109
308,villamontes,-21.25,-63.5,90.5,25,0,7.87,BO,1690838333
309,abepura,-2.6333,140.5833,77.81,83,20,2.3,ID,1690838334
310,caxias,38.7031,-9.2767,71.92,74,75,15.01,PT,1690838334
311,lensk,60.7253,114.9278,51.78,90,70,5.41,RU,1690838335
312,sanctuary point,-35.1114,150.629,55.98,69,0,8.61,AU,1690838335
313,arinos,-15.9169,-46.1056,78.78,36,10,4.12,BR,1690838336
314,sola,-13.8833,167.55,70.47,94,75,9.22,VU,1690838336
315,nambucca heads,-30.65,153.0,53.17,70,0,5.32,AU,1690838337
316,palikir - national government center,6.9248,158.1611,81.0,78,76,8.23,FM,1690838337
